text
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Amount of possibilites, Interesting lore, Immersion, Graphical fidelity, Story quality"
"Amount of possibilites, Interesting lore, Immersion, Graphical fidelity, Story quality"
"Unique vibe or game world, Playtime length, Interesting lore, Immersion, Price"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Price, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Online hype about the game, Price"
"Unique vibe or game world, Interesting lore, Immersion"
"Playtime length, Gameplay originality, Online hype about the game, Price"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Online hype about the game, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Online hype about the game, Price, Story quality"
"Unique vibe or game world, Playtime length, Gameplay originality, Price"
"Unique vibe or game world, Amount of possibilites, Immersion, Story quality"
"Amount of possibilites, Playtime length, Gameplay originality, Immersion"
"Amount of possibilites, Multiplayer mode, Interesting lore, Immersion, Story quality"
"Amount of possibilites, Playtime length, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Playtime length, Interesting lore, Story quality"
"Interesting lore, Story quality"
"Unique vibe or game world, Multiplayer mode, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Playtime length, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Online hype about the game, Immersion"
"Playtime length, Interesting lore, Immersion, Graphical fidelity, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Immersion, Story quality"
"Amount of possibilites, Interesting lore, Immersion, Price, Story quality"
"Unique vibe or game world, Playtime length, Interesting lore, Graphical fidelity, Story quality"
"Amount of possibilites, Playtime length, Immersion"
"Unique vibe or game world, Gameplay originality, Immersion, Price, Story quality"
"Unique vibe or game world, Price, Game stability/how well it plays on Switch"
"Amount of possibilites, Interesting lore, Immersion, Price, Story quality"
"Amount of possibilites, Multiplayer mode, Gameplay originality, Immersion"
"Amount of possibilites, Playtime length, Online hype about the game, Immersion"
"Amount of possibilites, Playtime length, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Gameplay originality, Online hype about the game, Story quality"
"If it looks fun, i usually avoid high graphical fidelity because I cant afford a pc that can play those"
"Playtime length, Interesting lore, Immersion, Price, Story quality"
"Unique vibe or game world, Amount of possibilites, Gameplay originality, Immersion, Story quality"
"Amount of possibilites, Multiplayer mode, Price"
"Amount of possibilites, Price, Story quality"
"Amount of possibilites, Immersion, Story quality"
None
"Unique vibe or game world, Amount of possibilites, Gameplay originality, Immersion"
"Interesting lore, Gameplay originality, Price, Graphical fidelity, Story quality"
"Amount of possibilites, Playtime length, Immersion, Price"
"Multiplayer mode, Interesting lore, Gameplay originality, Story quality"
"Unique vibe or game world, Amount of possibilites, Playtime length, Interesting lore, Price"
"Playtime length, Interesting lore, Gameplay originality, Immersion, Price"
"Unique vibe or game world, Amount of possibilites, Playtime length, Gameplay originality, Immersion"
"Unique vibe or game world, Amount of possibilites, Playtime length, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Price"
"Amount of possibilites, Interesting lore, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Multiplayer mode, Gameplay originality, Price"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Interesting lore, Gameplay originality, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Price, Moddability"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Price, Story quality"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Gameplay originality, Immersion, Moddability of the game. (E.g. Unity games are easy to make mods for, and hence have a longer possible ""fresh"" shelf life)"
"Unique vibe or game world, Amount of possibilites, Interesting lore, Immersion, Story quality"
"Unique vibe or game world, Amount of possibilites, Playtime length, Interesting lore, Gameplay originality"
"Interesting lore, Gameplay originality, Immersion, Price, Story quality"
